City,Violent,Nonviolent,Poverty-Families,Poverty-Individuals
"Flagstaff city, Arizona",522.1420879,7381.783768,10.6,17.4
"Flint city, Michigan",1386.48706,6958.981827,22.9,26.4
"Florence city, Alabama",344.931769,4214.713732,14.4,20.4
"Florence city, South Carolina",1949.726072,11685.46568,15.3,19.3
"Florissant city, Missouri",99.56853634,2420.88206,2.7,4
"Flower Mound town, Texas",74.29856291,1302.180076,2.2,2.5
"Folsom city, California",130.6175762,2340.911874,2.6,7.3
"Fond du Lac city, Wisconsin",124.1909675,3697.069571,4.6,7.5
"Fontana city, California",765.758092,2698.46678,12.2,14.7
"Fort Collins city, Colorado",305.1036272,3748.534754,5.5,14
"Fort Dodge city, Iowa",624.4971457,6995.90054,7.7,11.6
"Fort Lauderdale city, Florida",1081.645181,6764.886433,13.8,17.7
"Fort Lee borough, New Jersey",74.32818754,1772.441395,5.7,7.9
"Fort Myers city, Florida",2303.761243,10063.36877,18.1,21.8
"Fort Pierce city, Florida",2032.489226,8497.182057,25.4,30.9
"Fort Smith city, Arkansas",765.2931289,8369.8365,12.1,15.8
"Fort Wayne city, Indiana",407.4291222,5612.087726,9.6,12.5
"Fort Worth city, Texas",730.1784115,6568.352812,12.7,15.9
"Foster City city, California",83.7979824,1495.471686,1.7,2.9
"Fountain Valley city, California",249.4447292,2562.788314,3,4.3
"Frankfort city, Kentucky",0,0,9.5,13.9
"Franklin city, Massachusetts",124.6168873,293.0180863,2.2,2.8
"Franklin city, Tennessee",0,0,5.1,6.7
"Franklin city, Wisconsin",111.4788364,2125.06532,1.4,2.7
"Frederick city, Maryland",1246.842802,3852.784348,4.8,7.4
"Freeport village, New York",0,0,8,10.6
"Fremont city, California",181.5256598,2308.706196,3.6,5.4
"Fremont city, Nebraska",87.09766816,3416.603983,5.1,8.8
"Fresno city, California",930.5084746,7027.845036,20.5,26.2
"Fridley city, Minnesota",0,0,5.3,7.3
"Friendswood city, Texas",218.9327844,1303.793746,2.3,3.3
"Frisco city, Texas",125.7673304,2341.667914,2.2,3.4
"Fullerton city, California",247.7291495,3006.097948,8,11.4
"Gadsden city, Alabama",0,0,18.1,22.9
"Gahanna city, Ohio",148.47565,3005.807048,2.2,3.7
"Gainesville city, Florida",1007.058631,5929.659567,15.3,26.7
